bairro,tipologia,k_inf,k_sup,pct_corte_baixo,pct_corte_alto,escrituras
BARRA DA TIJUCA,Casa,2.5,3.0,1.19,0.00,168
BARRA DA TIJUCA,Casa,3.0,3.5,0.00,0.00,168
BARRA OLÍMPICA,Apartamento,2.0,2.5,15.83,0.00,581
BARRA OLÍMPICA,Apartamento,2.5,3.0,8.09,0.00,581
BARRA OLÍMPICA,Apartamento,3.0,3.5,7.06,0.00,581
BENFICA,Apartamento,2.0,2.5,0.00,0.00,17
BENFICA,Apartamento,2.5,3.0,0.00,0.00,17
BENFICA,Apartamento,3.0,3.5,0.00,0.00,17
BENFICA,Casa,2.0,2.5,0.00,0.00,2
BENFICA,Casa,2.5,3.0,0.00,0.00,2
BENFICA,Casa,3.0,3.5,0.00,0.00,2
BENTO RIBEIRO,Apartamento,2.0,2.5,13.33,0.00,15
BENTO RIBEIRO,Apartamento,2.5,3.0,13.33,0.00,15
BENTO RIBEIRO,Apartamento,3.0,3.5,13.33,0.00,15
BENTO RIBEIRO,Casa,2.0,2.5,0.00,0.00,22
BENTO RIBEIRO,Casa,2.5,3.0,0.00,0.00,22
BENTO RIBEIRO,Casa,3.0,3.5,0.00,0.00,22
BONSUCESSO,Apartamento,2.0,2.5,0.00,0.00,167
BONSUCESSO,Apartamento,2.5,3.0,0.00,0.00,167
BONSUCESSO,Apartamento,3.0,3.5,0.00,0.00,167
BONSUCESSO,Casa,2.0,2.5,0.00,0.00,10
BONSUCESSO,Casa,2.5,3.0,0.00,0.00,10
BONSUCESSO,Casa,3.0,3.5,0.00,0.00,10
BOTAFOGO,Apartamento,2.0,2.5,0.92,2.24,3036
BOTAFOGO,Apartamento,2.5,3.0,0.26,0.26,3036
BOTAFOGO,Apartamento,3.0,3.5,0.13,0.00,3036
BOTAFOGO,Casa,2.0,2.5,6.25,9.38,32
BOTAFOGO,Casa,2.5,3.0,0.00,9.38,32
BOTAFOGO,Casa,3.0,3.5,0.00,9.38,32
BOTAFOGO,Comercial,2.0,2.5,0.00,0.00,4
BOTAFOGO,Comercial,2.5,3.0,0.00,0.00,4
BOTAFOGO,Comercial,3.0,3.5,0.00,0.00,4
BRÁS DE PINA,Apartamento,2.0,2.5,3.28,0.00,61
BRÁS DE PINA,Apartamento,2.5,3.0,3.28,0.00,61
BRÁS DE PINA,Apartamento,3.0,3.5,0.00,0.00,61
BRÁS DE PINA,Casa,2.0,2.5,10.53,0.00,19
BRÁS DE PINA,Casa,2.5,3.0,0.00,0.00,19
BRÁS DE PINA,Casa,3.0,3.5,0.00,0.00,19
CACHAMBI,Apartamento,2.0,2.5,3.59,0.00,864
CACHAMBI,Apartamento,2.5,3.0,0.81,0.00,864
CACHAMBI,Apartamento,3.0,3.5,0.81,0.00,864
CACHAMBI,Casa,2.0,2.5,0.00,0.00,19
CACHAMBI,Casa,2.5,3.0,0.00,0.00,19
CACHAMBI,Casa,3.0,3.5,0.00,0.00,19
CACUIA,Apartamento,2.0,2.5,0.00,0.00,10
CACUIA,Apartamento,2.5,3.0,0.00,0.00,10
CACUIA,Apartamento,3.0,3.5,0.00,0.00,10
CACUIA,Casa,2.0,2.5,0.00,0.00,6
CACUIA,Casa,2.5,3.0,0.00,0.00,6
CACUIA,Casa,3.0,3.5,0.00,0.00,6
CAJU,Apartamento,2.0,2.5,0.00,0.00,2
CAJU,Apartamento,2.5,3.0,0.00,0.00,2
CAJU,Apartamento,3.0,3.5,0.00,0.00,2
CAMORIM,Apartamento,2.0,2.5,0.00,0.00,1792
