bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
COSMOS,Apartamento,2.5,3.0,72,11.11,,2445,2279,2660
COSMOS,Apartamento,3.0,3.5,72,11.11,,2445,2247,2698
CASCADURA,Apartamento,2.0,2.5,71,11.27,,3386,2364,5303
CASCADURA,Apartamento,2.5,3.0,71,5.63,,3386,2161,5801
CASCADURA,Apartamento,3.0,3.5,71,,,3386,1976,6346
HIGIENÓPOLIS,Apartamento,2.0,2.5,69,7.25,7.25,2939,2308,3976
HIGIENÓPOLIS,Apartamento,2.5,3.0,69,7.25,4.35,2939,2172,4224
HIGIENÓPOLIS,Apartamento,3.0,3.5,69,,4.35,2939,2045,4487
RIBEIRA,Apartamento,2.0,2.5,69,2.90,,4453,2461,9346
RIBEIRA,Apartamento,2.5,3.0,69,,,4453,2122,10839
RIBEIRA,Apartamento,3.0,3.5,69,,,4453,1830,12571
VAZ LOBO,Apartamento,2.0,2.5,66,6.06,,2880,2321,3772
VAZ LOBO,Apartamento,2.5,3.0,66,,,2880,2199,3981
VAZ LOBO,Apartamento,3.0,3.5,66,,,2880,2084,4202
PORTUGUESA,Apartamento,2.0,2.5,65,3.08,6.15,3784,2915,5241
PORTUGUESA,Apartamento,2.5,3.0,65,3.08,6.15,3784,2731,5594
PORTUGUESA,Apartamento,3.0,3.5,65,,,3784,2559,5971
ROCHA,Apartamento,2.0,2.5,64,3.13,12.50,2841,2207,3896
ROCHA,Apartamento,2.5,3.0,64,,6.25,2841,2072,4149
ROCHA,Apartamento,3.0,3.5,64,,6.25,2841,1945,4420
TIJUCA,Casa,2.0,2.5,63,3.17,,4500,3244,6776
TIJUCA,Casa,2.5,3.0,63,3.17,,4500,2989,7354
TIJUCA,Casa,3.0,3.5,63,3.17,,4500,2754,7981
JARDIM CARIOCA,Apartamento,2.0,2.5,57,14.04,,4093,3132,5720
